q1,q2,q3,driverRef_freq,points_qualifying,position_qualifying,wins,grid,position_results,positionOrder,points_results,laps,milliseconds,rank,status_freq
81.022,79.802,81.873,0.0134,36.0,5,0,5,2,2,8.0,60,6018017,2,0.2868
80.998,79.992,82.029,0.0377,13.0,9,0,6,6,6,3.0,59,0,6,0.1509
80.818,80.115,82.491,0.0025,2.0,18,0,7,0,16,0.0,35,0,7,0.0297
80.318,80.109,83.251,0.0288,5.0,15,0,8,0,19,0.0,0,0,0,0.0319
80.676,80.086,83.305,0.0247,48.0,2,3,9,13,13,0.0,58,0,8,0.0603
80.444,79.788,0.0,0.0094,46.0,4,1,10,0,14,0.0,39,0,12,0.0297
81.224,80.174,0.0,0.0151,6.0,13,0,11,0,20,0.0,0,0,0,0.0319
80.893,80.274,0.0,0.009,5.0,14,0,12,12,12,0.0,59,0,15,0.1509
80.584,80.531,0.0,0.0026,2.0,17,0,13,11,11,0.0,59,0,9,0.1509
81.145,80.601,0.0,0.0174,20.0,7,0,14,7,7,2.0,59,0,13,0.1509
81.407,81.112,0.0,0.0034,8.0,12,0,15,8,8,1.0,59,0,14,0.1509
81.512,0.0,0.0,0.0207,11.0,10,0,16,3,3,6.0,60,6031713,11,0.2868
81.631,0.0,0.0,0.0255,3.0,16,0,17,0,15,0.0,38,0,10,0.0297
81.668,0.0,0.0,0.0201,8.0,11,0,20,9,9,0.0,59,0,16,0.1509
81.786,0.0,0.0,0.0123,0.0,22,0,18,0,18,0.0,10,0,18,0.0297
81.885,0.0,0.0,0.0144,0.0,19,0,19,0,17,0.0,16,0,17,0.0297
75.218,74.603,75.666,0.0346,58.0,1,4,1,1,1,10.0,67,5480874,2,0.2868
74.921,74.747,75.859,0.0247,54.0,2,3,2,3,3,6.0,67,5490213,5,0.2868
75.476,74.855,76.143,0.0108,28.0,6,0,3,5,5,4.0,67,5493285,4,0.2868
75.56,75.122,76.191,0.0174,20.0,7,0,4,9,9,0.0,67,5518032,12,0.2868
75.917,74.943,76.385,0.0377,13.0,9,0,5,11,11,0.0,67,5519474,13,0.2868
75.201,74.949,76.389,0.031,51.0,3,2,6,6,6,3.0,67,5495277,3,0.2868
75.985,75.109,76.521,0.0094,48.0,4,1,7,7,7,2.0,67,5503556,6,0.2868
75.9,75.481,77.014,0.0192,18.0,8,0,8,0,19,0.0,40,0,14,0.0757
75.532,75.42,77.244,0.0288,6.0,15,0,9,8,8,1.0,67,5514173,8,0.2868
75.975,75.338,77.503,0.0151,6.0,14,0,10,13,13,0.0,67,5535845,11,0.2868
75.56,75.508,0.0,0.009,5.0,16,0,11,0,20,0.0,35,0,7,0.0161
75.596,75.581,0.0,0.0134,41.0,5,0,12,4,4,5.0,67,5490699,1,0.2868
75.863,75.633,0.0,0.0201,8.0,12,0,13,10,10,0.0,67,5518499,15,0.2868
75.993,75.701,0.0,0.0255,3.0,17,0,14,17,17,0.0,66,0,16,0.1509
75.927,75.858,0.0,0.0026,2.0,18,0,15,12,12,0.0,67,5519985,10,0.2868
76.083,0.0,0.0,0.0034,8.0,13,0,16,14,14,0.0,67,5540877,17,0.2868
76.189,0.0,0.0,0.0025,10.0,11,0,17,2,2,8.0,67,5486460,9,0.2868
76.246,0.0,0.0,0.0207,11.0,10,0,18,0,18,0.0,50,0,19,0.0319
76.657,0.0,0.0,0.0123,0.0,21,0,19,15,15,0.0,67,5550362,18,0.2868
76.963,0.0,0.0,0.0144,0.0,19,0,20,16,16,0.0,67,5564967,20,0.2868
79.376,79.473,80.899,0.0346,62.0,1,4,1,5,5,4.0,70,5870115,3,0.2868
79.945,79.48,81.14,0.0108,38.0,6,1,2,1,1,10.0,70,5847067,7,0.2868
79.578,79.068,81.191,0.0247,54.0,3,3,3,17,17,0.0,67,0,2,0.0757
80.053,79.776,81.281,0.0094,49.0,4,1,4,8,8,1.0,70,5895388,9,0.2868
79.98,79.246,81.326,0.009,13.0,10,0,5,2,2,8.0,70,5858128,6,0.2868
80.006,79.546,81.516,0.031,57.0,2,2,6,3,3,6.0,70,5863923,1,0.2868
80.229,79.816,81.698,0.0377,18.0,8,0,7,4,4,5.0,70,5868681,8,0.2868
80.073,80.046,81.732,0.0192,18.0,9,0,8,9,9,0.0,70,5905901,10,0.2868
79.942,79.486,81.767,0.0174,22.0,7,0,9,7,7,2.0,70,5883516,5,0.2868
80.583,80.131,82.371,0.0025,13.0,11,0,10,6,6,3.0,70,5879365,4,0.2868
80.157,80.144,0.0,0.0288,6.0,16,0,11,0,20,0.0,22,0,20,0.005
80.888,80.332,0.0,0.0255,3.0,17,0,12,12,12,0.0,69,0,13,0.1509
80.505,80.502,0.0,0.0151,6.0,15,0,13,11,11,0.0,70,5917474,16,0.2868
80.64,80.963,0.0,0.0026,2.0,18,0,19,18,18,0.0,67,0,17,0.0273
80.748,0.0,0.0,0.0201,8.0,13,0,14,14,14,0.0,69,0,12,0.1509
81.045,0.0,0.0,0.0134,41.0,5,0,15,10,10,0.0,70,5914776,11,0.2868
81.085,0.0,0.0,0.0034,8.0,14,0,16,13,13,0.0,69,0,18,0.1509
81.332,0.0,0.0,0.0207,11.0,12,0,17,16,16,0.0,68,0,14,0.0603
81.67,0.0,0.0,0.0144,0.0,19,0,18,15,15,0.0,69,0,15,0.1509
82.113,0.0,0.0,0.0123,0.0,21,0,20,0,19,0.0,62,0,19,0.0095
98.176,97.859,98.989,0.0247,64.0,2,4,1,1,1,10.0,57,5732339,1,0.2868
98.464,97.954,99.199,0.0346,70.0,1,4,2,2,2,8.0,57,5737950,2,0.2868
98.347,98.05,99.392,0.0094,55.0,4,1,3,3,3,6.0,57,5769692,4,0.2868
98.703,98.229,99.488,0.031,57.0,3,2,4,0,18,0.0,45,0,5,0.0757
98.656,98.12,99.937,0.0108,43.0,5,1,5,4,4,5.0,57,5772042,3,0.2868
98.141,97.842,100.142,0.0288,9.0,14,0,6,6,6,3.0,57,5784964,6,0.2868
97.948,97.928,100.309,0.0174,26.0,7,0,7,5,5,4.0,57,5783023,12,0.2868
98.738,97.859,100.631,0.0134,41.0,6,0,8,9,9,0.0,57,5814516,7,0.2868
98.595,98.336,100.721,0.0201,9.0,13,0,9,8,8,1.0,57,5803796,10,0.2868
98.622,98.417,100.75,0.0026,2.0,18,0,10,10,10,0.0,57,5822133,11,0.2868
98.667,98.428,0.0,0.0034,8.0,15,0,11,15,15,0.0,56,0,13,0.1509
98.268,98.435,0.0,0.0377,18.0,8,0,12,0,20,0.0,0,0,0,0.0319
98.532,98.499,0.0,0.009,15.0,10,0,13,7,7,2.0,57,5800329,8,0.2868
